sample,spot_set,n_spots,protocol,lib_median,lib_p10,lib_p90,frac_lib_lt100,sd_loglib,cv_lib,moran_I_loglib_k6,zero_frac_fullgenome,genes_detected_median
INT24,all_spots,4510,ffpe,5120.0,1782.8000000000002,13641.5,0.0015521064301552106,0.8717290892707041,0.9126218407873389,0.7255772552842776,0.8264428018115508,2870.0
INT24,bench_patches,4510,ffpe,5120.0,1782.8000000000002,13641.5,0.0015521064301552106,0.8717290892707041,0.9126218407873389,0.7255772552842776,0.8264428018115508,2870.0
INT15,all_spots,4940,ffpe,7161.5,3882.7000000000003,11134.1,0.0,0.5051593003456922,0.4097440049902612,0.7659375997792985,0.8026728251699432,3603.0
INT15,bench_patches,4940,ffpe,7161.5,3882.7000000000003,11134.1,0.0,0.5051593003456922,0.4097440049902612,0.7659375997792985,0.8026728251699432,3603.0
INT14,all_spots,4562,ffpe,6476.0,3332.6000000000004,9826.600000000002,0.000657606313020605,0.5249268533970977,0.44052575820528606,0.7073787877003979,0.8035866438861646,3584.0
INT14,bench_patches,4562,ffpe,6476.0,3332.6000000000004,9826.600000000002,0.000657606313020605,0.5249268533970977,0.44052575820528606,0.7073787877003979,0.8035866438861646,3584.0
INT13,all_spots,4359,ffpe,7971.0,2790.8,15013.6,0.0013764624913971094,0.7422074424513947,0.5627006952904362,0.8410042914750182,0.7877130655784049,3852.0
INT13,bench_patches,4359,ffpe,7971.0,2790.8,15013.6,0.0013764624913971094,0.7422074424513947,0.5627006952904362,0.8410042914750182,0.7877130655784049,3852.0
INT12,all_spots,1451,frozen,14407.0,8147.0,19399.0,0.0,0.38227923769883815,0.3167011103225539,0.576957714046344,0.8768166619407668,4636.0
INT12,bench_patches,1451,frozen,14407.0,8147.0,19399.0,0.0,0.38227923769883815,0.3167011103225539,0.576957714046344,0.8768166619407668,4636.0
INT11,all_spots,1439,frozen,8954.0,5126.8,19284.0,0.0,0.5457497720487853,0.6590873859003422,0.7454763287990385,0.9001427770222921,3340.0
INT11,bench_patches,1439,frozen,8954.0,5126.8,19284.0,0.0,0.5457497720487853,0.6590873859003422,0.7454763287990385,0.9001427770222921,3340.0
INT10,all_spots,1983,frozen,17087.0,1330.4,46100.799999999996,0.002017145738779627,1.3935470328900212,0.8784956591329618,0.9416076191576105,0.8696712692017831,5213.0
