section,patient,n,reliability,r_tech_correct,r_tech_old_biased,diff
A1,A,345,0.2072181077535274,0.4552121568604329,0.7789573458241221,-0.3237451889636892
A2,A,323,0.20465376950209846,0.45238674770830595,0.7740667872835985,-0.3216800395752925
A3,A,356,0.20693452654768127,0.4549005677592426,0.7748909611631603,-0.31999039340391766
A4,A,341,0.20389271829248892,0.45154481316087436,0.7711109519981598,-0.31956613883728546
A5,A,329,0.18939707019706137,0.4351977368933131,0.7685106746083599,-0.3333129377150468
A6,A,357,0.23257200215247803,0.48225719502406394,0.7789164553870853,-0.29665926036302137
B1,B,293,0.36811163614673237,0.6067220419160098,0.8127262129267037,-0.2060041710106939
B2,B,268,0.41852899642937336,0.6469381704841456,0.8227593765075605,-0.1758212060234149
B3,B,297,0.3525401260021769,0.5937508955801051,0.8110905873656581,-0.217339691785553
B4,B,281,0.40794071046100433,0.6387023645337508,0.821743446777366,-0.18304108224361515
B5,B,287,0.31228652678901014,0.5588260255115273,0.8007784345467052,-0.2419524090351779
B6,B,277,0.3714158167602154,0.609438936038891,0.8141980195606523,-0.2047590835217613
C1,C,174,0.3383266906434389,0.581658568787084,0.7964548484272904,-0.21479627964020642
C2,C,185,0.33319733278182373,0.5772324772410365,0.794853913061916,-0.21762143582087945
C3,C,179,0.3469562390626944,0.589029913555071,0.7946275228016397,-0.20559760924656878
C4,C,184,0.35117095643828183,0.5925967907762257,0.7936802274681738,-0.20108343669194806
C5,C,179,0.33153513662001427,0.5757908792435099,0.7909719349026454,-0.21518105565913548
C6,C,176,0.3090191119796607,0.5558948749355949,0.784336872207406,-0.22844199727181114
D1,D,306,0.23983064658136705,0.48972507244510877,0.7760690268617347,-0.28634395441662597
D2,D,302,0.26607668495333114,0.5158262158453476,0.7850070951136413,-0.2691808792682937
D3,D,300,0.25478945748980386,0.504766735720376,0.7813305996388245,-0.27656386391844845
D4,D,299,0.293990911679488,0.5422092877104633,0.787631117437628,-0.24542182972716475
D5,D,304,0.23148043378582234,0.48112413552618866,0.7767555939668851,-0.29563145844069644
D6,D,314,0.24731853353640582,0.49731130445265953,0.7788392016760989,-0.28152789722343935
E1,E,587,0.15237986365821132,0.3903586346658817,0.7821108257490682,-0.3917521910831865
E2,E,572,0.16591646323879475,0.40732844639037274,0.778164630343555,-0.37083618395318224
E3,E,570,0.1692421124151971,0.41139046223168213,0.7787067956975072,-0.3673163334658251
F1,F,691,0.13698697420519823,0.3701175140481712,0.7684701570041764,-0.3983526429560052
F2,F,695,0.1583768132996968,0.3979658443883053,0.7719310963862014,-0.3739652519978961
F3,F,712,0.1310677697227276,0.3620328296200879,0.7662744237788465,-0.40424159415875854
G1,G,441,0.2599679982237575,0.5098705700702458,0.7982457222459872,-0.2883751521757414
G2,G,467,0.26876491927125157,0.5184254230564427,0.7978861199472829,-0.2794606968908402
G3,G,463,0.27067149693290676,0.5202609892476148,0.8010049969884304,-0.28074400774081565
H1,H,613,0.22522520617097452,0.4745789778013503,0.7945084439808354,-0.31992946617948514
H2,H,603,0.26574723920316545,0.5155067790079636,0.799369687345657,-0.28386290833769345
H3,H,510,0.2326765637383424,0.48236559137063495,0.7986452760803445,-0.3162796847097096
